region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
155,31.53,32.09,0.35,-0.45,1,0,0,31.53,32.09,31.53,0,0,0,0,0,0,-0.6,-0.8
156,34.64,32.09,0.66,-0.18,1,1,0,34.64,32.09,34.64,0,0,0,0,0,0,-0.7,-0.71
157,37.87,32.09,0.51,-0.29,1,0,0,37.87,32.09,37.87,681.42,26.1,3.31,187.04,13.68,2.03,-0.03,-1
158,44.82,32.09,0.71,-0.15,1,0,0,44.82,32.09,44.82,0,0,0,0,0,0,0.85,-0.53
159,37.87,34.6,0.59,-0.23,1,0,0,37.87,34.6,37.87,638.53,25.27,3.24,152.96,12.37,1.84,0.22,0.98
160,37.87,37.11,0.42,-0.37,1,0,0,37.87,37.11,37.87,736.45,27.14,3.38,151.13,12.29,1.83,-0.06,1
161,-6.53,39.62,2.65,0.42,1,0,0,-6.53,39.62,6.53,0,0,0,0,0,0,0.59,-0.81
162,25.59,39.62,1.11,0.05,0,1,0,25.59,39.62,25.59,0,0,0,0,0,0,0.6,0.8
163,37.87,39.62,0.57,-0.24,1,0,0,37.87,39.62,37.87,331.49,18.21,2.59,156.84,12.52,1.86,0.21,0.98
164,19.94,44.64,1.34,0.13,1,0,0,19.94,44.64,19.94,0,0,0,0,0,0,1,-0.06
165,1.3,47.15,2.18,0.34,1,1,0,1.3,47.15,1.3,0,0,0,0,0,0,1,0.03
166,3.91,47.15,2.31,0.36,0,1,0,3.91,47.15,3.91,0,0,0,0,0,0,0.65,-0.76
167,17.19,47.15,1.58,0.2,0,1,0,17.19,47.15,17.19,0,0,0,0,0,0,0.91,0.42
168,34.64,49.66,1.33,0.12,0,1,0,34.64,49.66,34.64,0,0,0,0,0,0,0.82,0.57
169,14.48,52.17,2.41,0.38,0,1,0,14.48,52.17,14.48,0,0,0,0,0,0,0.92,0.4
170,31.53,52.17,1.2,0.08,0,1,0,31.53,52.17,31.53,0,0,0,0,0,0,0.98,0.22
171,48.63,52.17,0.82,-0.08,1,0,0,48.63,52.17,48.63,0,0,0,0,0,0,0.21,-0.98
172,37.87,54.68,0.67,-0.17,0,1,0,37.87,54.68,37.87,0,0,0,0,0,0,0.8,0.6
173,48.63,54.68,0.57,-0.25,1,0,0,48.63,54.68,48.63,325.18,18.03,2.57,131.18,11.45,1.69,-0.97,-0.24
174,41.25,59.7,0.41,-0.39,0,1,0,41.25,59.7,41.25,0,0,0,0,0,0,-0.84,0.54
175,48.63,59.7,1.06,0.03,1,1,0,48.63,59.7,48.63,200,14.14,2.09,252,15.87,2.32,0.1,-1
176,14.48,62.21,2.68,0.43,0,1,0,14.48,62.21,14.48,0,0,0,0,0,0,-0.79,0.61
177,48.63,62.21,0.88,-0.05,1,1,0,48.63,62.21,48.63,200,14.14,2.09,265.35,16.29,2.37,-0.34,-0.94
178,52.75,62.21,0.79,-0.1,1,0,0,52.75,62.21,52.75,200,14.14,2.09,713.65,26.71,3.35,-0.13,-0.99
179,11.81,64.72,2.98,0.47,1,0,0,11.81,64.72,11.81,114.03,10.68,1.56,0,0,0,-0.15,0.99
180,31.53,64.72,0.22,-0.65,1,0,0,31.53,64.72,31.53,600,24.49,3.18,194.21,13.94,2.07,-0.76,-0.65
181,9.16,67.23,3.42,0.53,1,0,0,9.16,67.23,9.16,915.73,30.26,3.6,232.19,15.24,2.24,-0.69,-0.72
182,11.81,67.23,3,0.48,1,0,0,11.81,67.23,11.81,200,14.14,2.09,166.34,12.9,1.92,-0.83,0.56
183,14.48,67.23,2.81,0.45,1,0,0,14.48,67.23,14.48,200,14.14,2.09,0,0,0,-0.99,-0.11
184,19.94,67.23,1.6,0.2,1,0,0,19.94,67.23,19.94,200,14.14,2.09,211.13,14.53,2.15,-0.99,-0.14
185,52.75,67.23,0.76,-0.12,1,0,0,52.75,67.23,52.75,200,14.14,2.09,740.28,27.21,3.39,-0.02,1
186,-1.3,69.74,2.59,0.41,1,0,0,-1.3,69.74,1.3,419.21,20.47,2.82,193.32,13.9,2.06,0.99,-0.15
