region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
111,57.32,-0.54,1.12,0.05,1,0,0,57.32,-0.54,57.32,62.58,7.91,1.05,0,0,0,0.76,0.65
112,31.53,1.97,0.1,-1.01,1,0,0,31.53,1.97,31.53,435.99,20.88,2.86,111.24,10.55,1.54,0.02,1
113,37.87,1.97,0.26,-0.58,0,1,0,37.87,1.97,37.87,0,0,0,0,0,0,0.7,-0.72
114,41.25,1.97,0.66,-0.18,0,1,0,41.25,1.97,41.25,615.85,24.82,3.21,270.08,16.43,2.39,0,-1
115,48.63,1.97,1.15,0.06,1,0,0,48.63,1.97,48.63,200,14.14,2.09,76.93,8.77,1.22,-0.15,-0.99
116,28.52,4.48,0.07,-1.17,0,1,0,28.52,4.48,28.52,214.77,14.66,2.16,443.69,21.06,2.88,0.1,0.99
117,37.87,4.48,0.27,-0.56,0,1,0,37.87,4.48,37.87,187.73,13.7,2.03,0,0,0,0.88,0.47
118,41.25,4.48,0.59,-0.23,1,0,0,41.25,4.48,41.25,630.3,25.11,3.23,213.25,14.6,2.16,0.51,0.86
119,48.63,4.48,1.16,0.06,1,0,0,48.63,4.48,48.63,0,0,0,0,0,0,0.8,-0.59
120,1.3,6.99,3.02,0.48,1,0,0,1.3,6.99,1.3,200,14.14,2.09,346.91,18.63,2.64,-0.81,-0.58
121,3.91,6.99,2.46,0.39,1,0,0,3.91,6.99,3.91,200,14.14,2.09,544.85,23.34,3.08,-0.72,-0.69
122,44.82,6.99,0.95,-0.02,1,1,0,44.82,6.99,44.82,350.27,18.72,2.64,93.3,9.66,1.38,-0.1,-1
123,48.63,6.99,1.04,0.02,1,0,0,48.63,6.99,48.63,0,0,0,0,0,0,-0.65,0.76
124,52.75,6.99,0.97,-0.02,1,0,0,52.75,6.99,52.75,0,0,0,0,0,0,0.98,0.21
125,-1.3,9.5,2.32,0.36,1,0,0,-1.3,9.5,1.3,644.44,25.39,3.25,452.29,21.27,2.9,-1,-0.06
126,6.53,9.5,1.5,0.18,1,0,0,6.53,9.5,6.53,296.32,17.21,2.48,946.96,30.77,3.64,-0.71,-0.7
127,31.53,9.5,0.16,-0.8,1,0,0,31.53,9.5,31.53,0,0,0,0,0,0,0.98,0.19
128,37.87,9.5,0.33,-0.49,1,0,0,37.87,9.5,37.87,0,0,0,0,0,0,0.93,-0.36
129,41.25,9.5,0.62,-0.21,1,0,0,41.25,9.5,41.25,0,0,0,0,0,0,0.98,-0.2
130,44.82,9.5,0.85,-0.07,1,0,0,44.82,9.5,44.82,986.89,31.41,3.68,94.91,9.74,1.4,0.32,-0.95
131,48.63,9.5,0.83,-0.08,1,1,0,48.63,9.5,48.63,200,14.14,2.09,131.79,11.48,1.7,-0.95,0.32
132,25.59,12.01,0.07,-1.13,1,0,0,25.59,12.01,25.59,200,14.14,2.09,181.49,13.47,2,0.99,-0.13
133,28.52,12.01,0.17,-0.77,0,1,0,28.52,12.01,28.52,174.19,13.2,1.96,83.98,9.16,1.29,0.98,-0.18
134,37.87,12.01,0.36,-0.44,1,0,0,37.87,12.01,37.87,0,0,0,0,0,0,0.98,-0.21
135,44.82,12.01,0.73,-0.14,1,0,0,44.82,12.01,44.82,362.16,19.03,2.68,0,0,0,-0.94,-0.34
136,48.63,12.01,0.77,-0.11,1,0,0,48.63,12.01,48.63,200,14.14,2.09,156.57,12.51,1.86,-0.11,0.99
137,31.53,14.52,0.24,-0.61,1,0,0,31.53,14.52,31.53,0,0,0,0,0,0,0.6,0.8
138,34.64,14.52,0.32,-0.5,1,0,0,34.64,14.52,34.64,0,0,0,0,0,0,0.84,0.54
139,37.87,14.52,0.39,-0.41,1,0,0,37.87,14.52,37.87,0,0,0,0,0,0,-0.92,-0.39
140,41.25,14.52,0.57,-0.24,1,0,0,41.25,14.52,41.25,0,0,0,0,0,0,0.12,-0.99
141,44.82,14.52,0.59,-0.23,1,1,0,44.82,14.52,44.82,806.76,28.4,3.48,122.81,11.08,1.63,-0.2,-0.98
142,48.63,14.52,0.79,-0.1,1,0,0,48.63,14.52,48.63,200,14.14,2.09,166.54,12.91,1.92,-0.32,0.95
143,-31.53,17.03,0.71,-0.15,1,0,0,-31.53,17.03,31.53,200,14.14,2.09,770.97,27.77,3.43,0.98,-0.21
144,-28.52,17.03,0.84,-0.08,0,1,0,-28.52,17.03,28.52,200,14.14,2.09,792.15,28.15,3.46,1,-0.07
145,-19.94,17.03,1.17,0.07,0,1,0,-19.94,17.03,19.94,200,14.14,2.09,1148.13,33.88,3.83,-0.99,0.1
146,25.59,17.03,0.14,-0.85,1,0,0,25.59,17.03,25.59,0,0,0,0,0,0,0.81,0.59
147,34.64,17.03,0.33,-0.49,1,0,0,34.64,17.03,34.64,0,0,0,0,0,0,-0.62,-0.78
148,37.87,17.03,0.4,-0.39,1,0,0,37.87,17.03,37.87,0,0,0,0,0,0,-0.8,-0.6
149,41.25,17.03,0.68,-0.17,1,1,0,41.25,17.03,41.25,39.77,6.31,0.73,0,0,0,-0.54,-0.84
150,44.82,17.03,0.68,-0.17,1,1,0,44.82,17.03,44.82,606.25,24.62,3.19,128.34,11.33,1.67,0.07,-1
151,48.63,17.03,0.82,-0.09,1,1,0,48.63,17.03,48.63,200,14.14,2.09,217.98,14.76,2.18,0.63,-0.78
152,-37.87,19.54,0.59,-0.23,1,0,0,-37.87,19.54,37.87,200,14.14,2.09,100,10,1.44,0.35,-0.94
153,-34.64,19.54,0.74,-0.13,1,0,0,-34.64,19.54,34.64,200,14.14,2.09,391.23,19.78,2.75,0.79,-0.61
154,37.87,19.54,0.42,-0.38,1,0,0,37.87,19.54,37.87,358.79,18.94,2.67,0,0,0,-0.86,-0.51
155,41.25,19.54,0.64,-0.19,1,0,0,41.25,19.54,41.25,234.99,15.33,2.25,0,0,0,-0.96,-0.28
156,44.82,19.54,0.59,-0.23,1,0,0,44.82,19.54,44.82,813.54,28.52,3.48,156.99,12.53,1.86,0.58,0.82
157,34.64,22.05,0.32,-0.49,1,0,0,34.64,22.05,34.64,0,0,0,0,0,0,-0.01,-1
158,37.87,22.05,0.44,-0.35,1,0,0,37.87,22.05,37.87,389.28,19.73,2.75,0,0,0,-0.03,-1
159,41.25,22.05,0.49,-0.31,1,1,0,41.25,22.05,41.25,966.1,31.08,3.66,127.33,11.28,1.66,-0.07,-1
160,44.82,22.05,0.49,-0.31,1,1,0,44.82,22.05,44.82,309.88,17.6,2.52,72.74,8.53,1.17,0.89,0.46
161,31.53,24.56,0.18,-0.74,1,1,0,31.53,24.56,31.53,0,0,0,0,0,0,-0.33,-0.95
162,34.64,24.56,0.31,-0.51,1,1,0,34.64,24.56,34.64,0,0,0,0,0,0,-0.61,-0.79
163,37.87,24.56,0.42,-0.38,1,1,0,37.87,24.56,37.87,412.43,20.31,2.81,0,0,0,-0.24,-0.97
164,41.25,24.56,0.44,-0.36,1,0,0,41.25,24.56,41.25,0,0,0,0,0,0,-0.26,0.97
165,44.82,24.56,0.48,-0.32,1,1,0,44.82,24.56,44.82,0,0,0,0,0,0,0.57,0.82
166,48.63,24.56,0.78,-0.11,1,0,0,48.63,24.56,48.63,200,14.14,2.09,168.26,12.97,1.93,0.1,1
167,34.64,27.07,0.31,-0.52,1,0,0,34.64,27.07,34.64,0,0,0,0,0,0,0.02,-1
168,37.87,27.07,0.35,-0.46,1,1,0,37.87,27.07,37.87,396.32,19.91,2.77,0,0,0,0.08,1
169,25.59,29.58,0.1,-1.01,0,1,0,25.59,29.58,25.59,0,0,0,0,0,0,0.19,0.98
170,34.64,29.58,0.27,-0.57,1,1,0,34.64,29.58,34.64,0,0,0,0,0,0,-0.13,-0.99
171,37.87,29.58,0.31,-0.51,1,1,0,37.87,29.58,37.87,831.12,28.83,3.5,148.97,12.21,1.81,0.23,0.97
172,25.59,32.09,0.12,-0.92,0,1,0,25.59,32.09,25.59,0,0,0,0,0,0,0.59,0.81
173,31.53,32.09,0.1,-0.99,0,1,0,31.53,32.09,31.53,0,0,0,0,0,0,-0.6,-0.8
174,34.64,32.09,0.25,-0.61,1,0,0,34.64,32.09,34.64,0,0,0,0,0,0,-0.7,-0.71
175,37.87,32.09,0.27,-0.56,1,0,0,37.87,32.09,37.87,681.42,26.1,3.31,187.04,13.68,2.03,-0.03,-1
176,44.82,32.09,0.52,-0.29,1,0,0,44.82,32.09,44.82,0,0,0,0,0,0,0.85,-0.53
177,-3.91,34.6,1.59,0.2,0,1,0,-3.91,34.6,3.91,736.2,27.13,3.38,327.32,18.09,2.58,-0.07,-1
178,22.74,34.6,0.28,-0.55,0,1,0,22.74,34.6,22.74,0,0,0,0,0,0,-0.95,0.3
179,37.87,34.6,0.3,-0.52,1,0,0,37.87,34.6,37.87,638.53,25.27,3.24,152.96,12.37,1.84,0.22,0.98
180,-25.59,37.11,0.66,-0.18,0,1,0,-25.59,37.11,25.59,0,0,0,0,0,0,-0.99,0.16
181,-1.3,37.11,1.3,0.11,0,1,0,-1.3,37.11,1.3,666.12,25.81,3.28,468.02,21.63,2.93,0.79,-0.62
