region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
75,48.63,-108.47,0.81,-0.09,1,0,0,48.63,-108.47,48.63,3400,58.31,4.91,284.59,16.87,2.44,-0.97,0.23
76,52.75,-108.47,0.65,-0.18,0,0,0,52.75,-108.47,52.75,3400,58.31,4.91,321.37,17.93,2.56,-0.98,0.18
77,57.32,-108.47,0.66,-0.18,0,0,0,57.32,-108.47,57.32,3011.37,54.88,4.79,500.47,22.37,3,-0.75,-0.67
78,62.55,-108.47,0.64,-0.19,0,0,0,62.55,-108.47,62.55,200,14.14,2.09,770.35,27.76,3.43,-0.97,-0.23
79,69.02,-108.47,0.6,-0.22,0,0,0,69.02,-108.47,69.02,200,14.14,2.09,804.92,28.37,3.47,-0.6,0.8
80,22.74,-105.96,1.14,0.06,0,0,0,22.74,-105.96,22.74,0,0,0,128.77,11.35,1.67,0.98,0.2
81,25.59,-105.96,1.05,0.02,0,0,0,25.59,-105.96,25.59,0,0,0,79.73,8.93,1.25,-0.95,-0.31
82,28.52,-105.96,1.48,0.17,0,0,0,28.52,-105.96,28.52,0,0,0,199.36,14.12,2.09,-0.87,-0.5
83,31.53,-105.96,1.02,0.01,0,0,0,31.53,-105.96,31.53,0,0,0,167.52,12.94,1.92,-0.84,-0.54
84,34.64,-105.96,1.05,0.02,0,1,0,34.64,-105.96,34.64,0,0,0,282.79,16.82,2.43,-0.86,-0.5
85,37.87,-105.96,0.83,-0.08,0,1,0,37.87,-105.96,37.87,2299.67,47.95,4.52,231.08,15.2,2.24,-0.94,-0.34
86,41.25,-105.96,0.97,-0.01,1,0,0,41.25,-105.96,41.25,1523.31,39.03,4.11,374.1,19.34,2.71,-0.79,-0.61
87,44.82,-105.96,1,0,1,0,0,44.82,-105.96,44.82,3400,58.31,4.91,397.31,19.93,2.77,-0.9,-0.44
88,48.63,-105.96,0.74,-0.13,0,0,0,48.63,-105.96,48.63,3399.53,58.31,4.91,465.51,21.58,2.93,-0.99,0.17
89,52.75,-105.96,0.67,-0.18,0,0,0,52.75,-105.96,52.75,3397.76,58.29,4.91,488.18,22.09,2.97,-0.99,0.15
90,57.32,-105.96,0.66,-0.18,0,0,0,57.32,-105.96,57.32,718.23,26.8,3.36,622.44,24.95,3.22,-0.86,-0.51
91,62.55,-105.96,0.68,-0.17,0,0,0,62.55,-105.96,62.55,200,14.14,2.09,896.4,29.94,3.58,-0.99,-0.17
92,69.02,-105.96,0.58,-0.24,0,0,0,69.02,-105.96,69.02,200,14.14,2.09,866.9,29.44,3.55,-0.64,0.77
93,25.59,-103.45,1.6,0.21,0,0,0,25.59,-103.45,25.59,0,0,0,79.83,8.93,1.25,-0.92,-0.38
94,28.52,-103.45,1.05,0.02,0,0,0,28.52,-103.45,28.52,0,0,0,207.58,14.41,2.13,-0.93,-0.37
95,31.53,-103.45,1.03,0.01,0,1,0,31.53,-103.45,31.53,0,0,0,196.55,14.02,2.08,-0.93,-0.37
96,34.64,-103.45,1.07,0.03,0,0,0,34.64,-103.45,34.64,3400,58.31,4.91,323.74,17.99,2.57,-0.85,-0.52
97,37.87,-103.45,1.22,0.09,0,0,0,37.87,-103.45,37.87,1056.83,32.51,3.74,445.11,21.1,2.88,-0.99,-0.16
98,41.25,-103.45,1.08,0.03,0,0,0,41.25,-103.45,41.25,400,20,2.78,556.37,23.59,3.1,-0.92,-0.39
99,44.82,-103.45,0.98,-0.01,1,0,0,44.82,-103.45,44.82,2649.99,51.48,4.66,582.29,24.13,3.15,-0.96,-0.28
100,48.63,-103.45,0.66,-0.18,0,0,0,48.63,-103.45,48.63,1913.65,43.75,4.34,647.69,25.45,3.26,-0.99,0.15
101,52.75,-103.45,0.63,-0.2,0,0,0,52.75,-103.45,52.75,1572.29,39.65,4.14,655.44,25.6,3.27,-0.99,0.14
102,57.32,-103.45,0.69,-0.16,0,0,0,57.32,-103.45,57.32,649.34,25.48,3.26,757.18,27.52,3.41,-0.92,-0.39
103,62.55,-103.45,0.72,-0.14,0,0,0,62.55,-103.45,62.55,200,14.14,2.09,1022.66,31.98,3.71,-0.97,-0.23
104,69.02,-103.45,0.55,-0.26,0,0,0,69.02,-103.45,69.02,200,14.14,2.09,932.52,30.54,3.62,-0.67,0.74
105,25.59,-100.94,0.76,-0.12,0,0,0,25.59,-100.94,25.59,0,0,0,114.74,10.71,1.57,-0.91,-0.42
106,28.52,-100.94,0.99,0,0,0,0,28.52,-100.94,28.52,0,0,0,167.53,12.94,1.92,-0.91,-0.43
107,31.53,-100.94,1.09,0.04,0,0,0,31.53,-100.94,31.53,3400,58.31,4.91,432.01,20.78,2.85,-0.96,-0.27
108,34.64,-100.94,1.14,0.06,0,0,0,34.64,-100.94,34.64,3399.97,58.31,4.91,535.34,23.14,3.07,-0.92,-0.38
109,37.87,-100.94,1.17,0.07,0,1,0,37.87,-100.94,37.87,1174.07,34.26,3.85,663.89,25.77,3.28,-1,-0.08
110,41.25,-100.94,1.07,0.03,0,0,0,41.25,-100.94,41.25,400,20,2.78,754.85,27.47,3.41,-0.96,-0.26
111,44.82,-100.94,0.86,-0.07,0,0,0,44.82,-100.94,44.82,636.61,25.23,3.24,774.98,27.84,3.44,-0.98,-0.18
112,48.63,-100.94,0.65,-0.19,0,0,0,48.63,-100.94,48.63,516.24,22.72,3.03,830.17,28.81,3.5,-0.99,0.15
113,52.75,-100.94,0.62,-0.21,0,0,0,52.75,-100.94,52.75,373.64,19.33,2.71,822.72,28.68,3.49,-0.99,0.14
114,57.32,-100.94,0.71,-0.15,0,0,0,57.32,-100.94,57.32,200,14.14,2.09,898.81,29.98,3.58,-0.96,-0.3
115,62.55,-100.94,0.7,-0.15,0,0,0,62.55,-100.94,62.55,200,14.14,2.09,1148.72,33.89,3.83,-0.99,-0.17
116,69.02,-100.94,0.51,-0.29,0,0,0,69.02,-100.94,69.02,200,14.14,2.09,977.81,31.27,3.67,-0.47,0.88
117,25.59,-98.43,1.06,0.03,0,0,0,25.59,-98.43,25.59,0,0,0,122.43,11.06,1.63,-0.95,-0.31
118,28.52,-98.43,0.87,-0.06,0,0,0,28.52,-98.43,28.52,3400,58.31,4.91,339.06,18.41,2.61,-0.9,-0.44
119,31.53,-98.43,1.12,0.05,0,0,0,31.53,-98.43,31.53,3400,58.31,4.91,575.61,23.99,3.14,-0.85,-0.53
120,34.64,-98.43,1.17,0.07,0,1,0,34.64,-98.43,34.64,2724.5,52.2,4.69,758.67,27.54,3.41,-0.96,-0.29
121,37.87,-98.43,1.16,0.06,0,0,0,37.87,-98.43,37.87,400,20,2.78,883.8,29.73,3.57,-1,-0.04
122,41.25,-98.43,0.98,-0.01,0,1,0,41.25,-98.43,41.25,400,20,2.78,959.42,30.97,3.65,-0.98,-0.18
123,44.82,-98.43,0.77,-0.12,0,0,0,44.82,-98.43,44.82,624.74,24.99,3.22,970.69,31.16,3.66,-0.99,-0.12
124,48.63,-98.43,0.63,-0.2,1,0,0,48.63,-98.43,48.63,200,14.14,2.09,1012.64,31.82,3.7,-0.99,0.15
125,52.75,-98.43,0.64,-0.19,0,0,0,52.75,-98.43,52.75,200,14.14,2.09,989.87,31.46,3.68,-0.99,0.15
126,57.32,-98.43,0.7,-0.15,0,0,0,57.32,-98.43,57.32,200,14.14,2.09,1041.83,32.28,3.73,-0.94,-0.34
127,62.55,-98.43,0.72,-0.14,0,0,0,62.55,-98.43,62.55,200,14.14,2.09,1276.05,35.72,3.93,-0.99,-0.12
128,69.02,-98.43,0.53,-0.27,0,0,0,69.02,-98.43,69.02,200,14.14,2.09,1026.46,32.04,3.72,-0.51,0.86
129,19.94,-95.92,2.17,0.34,0,0,0,19.94,-95.92,19.94,0,0,0,73.96,8.6,1.18,-0.92,-0.39
130,22.74,-95.92,0.92,-0.04,0,0,0,22.74,-95.92,22.74,938.57,30.64,3.63,71.51,8.46,1.16,-0.86,0.51
131,25.59,-95.92,0.57,-0.25,0,0,0,25.59,-95.92,25.59,3364.09,58,4.9,233.86,15.29,2.25,-0.69,-0.72
132,28.52,-95.92,0.74,-0.13,0,0,0,28.52,-95.92,28.52,3399.98,58.31,4.91,519.89,22.8,3.04,-0.31,-0.95
133,31.53,-95.92,1.12,0.05,0,1,0,31.53,-95.92,31.53,2717.26,52.13,4.69,522.63,22.86,3.04,1,-0.08
134,34.64,-95.92,1.27,0.1,0,1,0,34.64,-95.92,34.64,1066.04,32.65,3.75,650.18,25.5,3.26,0.8,-0.6
135,37.87,-95.92,1.23,0.09,0,1,0,37.87,-95.92,37.87,200,14.14,2.09,867.11,29.45,3.55,0.81,-0.59
136,41.25,-95.92,0.96,-0.02,1,1,0,41.25,-95.92,41.25,200,14.14,2.09,1099.21,33.15,3.78,0.71,-0.7
137,44.82,-95.92,0.76,-0.12,0,1,0,44.82,-95.92,44.82,200,14.14,2.09,1167.76,34.17,3.84,-1,-0.07
