region_id,centroid_x,centroid_y,Precipitation,Log Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
65,6.53,-68.31,1.04,0.02,0.0,1.0,0.0,6.53,-68.31,6.53,363.22,19.06,2.68,93.06,9.65,1.38,-0.82,0.57
66,17.19,-68.31,0.21,-0.67,1.0,1.0,0.0,17.19,-68.31,17.19,0.00,0.00,0.00,0.00,0.00,0.00,0.51,-0.86
67,37.87,-68.31,1.53,0.18,1.0,0.0,0.0,37.87,-68.31,37.87,0.00,0.00,0.00,0.00,0.00,0.00,0.06,-1.00
68,-57.32,-65.80,1.28,0.11,1.0,0.0,0.0,-57.32,-65.80,57.32,99.37,9.97,1.44,0.00,0.00,0.00,0.33,-0.94
69,-28.52,-65.80,0.52,-0.29,1.0,0.0,0.0,-28.52,-65.80,28.52,950.00,30.82,3.64,264.31,16.26,2.37,-1.00,-0.00
70,-25.59,-65.80,0.54,-0.27,0.0,1.0,0.0,-25.59,-65.80,25.59,950.00,30.82,3.64,221.45,14.88,2.19,-1.00,0.04
71,-6.53,-65.80,1.92,0.28,1.0,0.0,0.0,-6.53,-65.80,6.53,35.47,5.96,0.66,352.75,18.78,2.65,0.88,0.48
72,14.48,-65.80,0.35,-0.46,1.0,0.0,0.0,14.48,-65.80,14.48,0.00,0.00,0.00,0.00,0.00,0.00,-0.74,-0.68
73,41.25,-65.80,1.40,0.15,1.0,0.0,0.0,41.25,-65.80,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.58,-0.82
74,-31.53,-63.29,0.81,-0.09,0.0,1.0,0.0,-31.53,-63.29,31.53,258.90,16.09,2.35,502.35,22.41,3.00,0.99,-0.13
75,-28.52,-63.29,0.74,-0.13,0.0,1.0,0.0,-28.52,-63.29,28.52,949.98,30.82,3.64,493.64,22.22,2.99,-0.95,0.32
76,-25.59,-63.29,0.67,-0.17,0.0,1.0,0.0,-25.59,-63.29,25.59,950.00,30.82,3.64,473.12,21.75,2.94,-1.00,0.00
77,-19.94,-63.29,1.19,0.08,0.0,1.0,0.0,-19.94,-63.29,19.94,950.00,30.82,3.64,495.91,22.27,2.99,-0.99,-0.14
78,-6.53,-63.29,1.98,0.30,1.0,0.0,0.0,-6.53,-63.29,6.53,38.40,6.20,0.71,143.42,11.98,1.78,0.61,0.80
79,6.53,-63.29,0.68,-0.17,1.0,1.0,0.0,6.53,-63.29,6.53,27.11,5.21,0.52,86.78,9.32,1.32,1.00,-0.03
80,14.48,-63.29,0.32,-0.49,1.0,0.0,0.0,14.48,-63.29,14.48,0.00,0.00,0.00,0.00,0.00,0.00,0.10,-0.99
81,-69.02,-60.78,0.47,-0.33,0.0,0.0,1.0,-69.02,-60.78,69.02,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.34
82,-62.55,-60.78,0.84,-0.07,0.0,0.0,1.0,-62.55,-60.78,62.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.62,0.79
83,-19.94,-60.78,1.13,0.05,0.0,1.0,0.0,-19.94,-60.78,19.94,490.51,22.15,2.98,756.40,27.50,3.41,-0.99,-0.10
84,-37.87,-58.27,0.63,-0.20,1.0,0.0,0.0,-37.87,-58.27,37.87,37.40,6.12,0.69,118.11,10.87,1.59,0.58,0.82
85,-41.25,-55.76,0.70,-0.16,0.0,1.0,0.0,-41.25,-55.76,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.79,-0.62
86,1.30,-55.76,1.47,0.17,1.0,0.0,0.0,1.30,-55.76,1.30,143.37,11.97,1.78,135.90,11.66,1.73,-0.20,0.98
87,6.53,-55.76,0.87,-0.06,1.0,0.0,0.0,6.53,-55.76,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.64
88,-41.25,-53.25,1.08,0.03,1.0,0.0,0.0,-41.25,-53.25,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.74,-0.68
89,-6.53,-53.25,2.42,0.38,1.0,0.0,0.0,-6.53,-53.25,6.53,150.91,12.28,1.82,219.31,14.81,2.18,-0.63,0.77
90,-1.30,-53.25,2.03,0.31,1.0,0.0,0.0,-1.30,-53.25,1.30,256.73,16.02,2.34,190.85,13.82,2.05,-0.15,-0.99
91,-9.16,-45.72,1.97,0.30,1.0,0.0,0.0,-9.16,-45.72,9.16,200.03,14.14,2.09,378.49,19.45,2.72,-0.38,0.93
92,-6.53,-45.72,2.54,0.41,1.0,0.0,0.0,-6.53,-45.72,6.53,190.90,13.82,2.05,153.63,12.39,1.84,-0.92,0.38
93,-22.74,-40.70,1.17,0.07,1.0,0.0,0.0,-22.74,-40.70,22.74,881.42,29.69,3.56,198.63,14.09,2.09,-0.16,-0.99
94,11.81,-15.60,1.32,0.12,1.0,0.0,0.0,11.81,-15.60,11.81,12.48,3.53,0.25,55.71,7.46,0.96,-0.79,-0.61
95,6.53,-8.07,1.98,0.30,1.0,0.0,0.0,6.53,-8.07,6.53,242.33,15.57,2.28,397.12,19.93,2.77,0.16,-0.99
96,28.52,-8.07,0.13,-0.87,0.0,1.0,0.0,28.52,-8.07,28.52,842.38,29.02,3.52,322.63,17.96,2.56,-0.72,0.69
97,31.53,-8.07,0.10,-1.01,1.0,0.0,0.0,31.53,-8.07,31.53,589.94,24.29,3.16,108.27,10.41,1.52,0.06,1.00
98,37.87,-8.07,0.26,-0.58,1.0,0.0,0.0,37.87,-8.07,37.87,489.11,22.12,2.98,211.65,14.55,2.15,-0.18,-0.98
99,57.32,-8.07,1.24,0.09,1.0,0.0,0.0,57.32,-8.07,57.32,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,0.99
100,28.52,-5.56,0.12,-0.93,1.0,1.0,0.0,28.52,-5.56,28.52,659.75,25.69,3.27,500.88,22.38,3.00,-0.46,0.89
101,31.53,-5.56,0.10,-1.02,1.0,0.0,0.0,31.53,-5.56,31.53,991.07,31.48,3.68,171.81,13.11,1.95,0.30,0.95
102,34.64,-5.56,0.13,-0.89,0.0,1.0,0.0,34.64,-5.56,34.64,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-1.00
103,37.87,-5.56,0.59,-0.23,0.0,1.0,0.0,37.87,-5.56,37.87,670.91,25.90,3.29,268.29,16.38,2.38,1.00,0.07
104,28.52,-3.05,0.10,-0.99,1.0,0.0,0.0,28.52,-3.05,28.52,584.66,24.18,3.15,500.28,22.37,3.00,-0.08,1.00
