region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
163,-17.19,34.60,1.0,0.0,0.0,686.43,26.20,342.31,18.50,0.60,-0.80
164,6.53,34.60,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.66,0.75
165,9.16,34.60,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.86,0.51
166,11.81,37.11,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.59,0.81
167,19.94,37.11,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.22,0.98
168,22.74,39.62,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.34,-0.94
169,-37.87,44.64,1.0,0.0,0.0,468.09,21.64,129.93,11.40,-0.61,0.79
170,-9.16,44.64,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.94,-0.35
171,14.48,44.64,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.62,0.78
172,-34.64,47.15,0.0,1.0,0.0,73.77,8.59,66.88,8.18,-0.28,0.96
173,-14.48,47.15,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.94,-0.35
174,6.53,47.15,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.96,0.29
175,-6.53,49.66,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.99,-0.12
176,3.91,49.66,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.88,0.48
177,6.53,49.66,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.88,0.48
178,9.16,49.66,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.87,0.49
179,-3.91,52.17,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.01
180,1.30,52.17,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.03
181,1.30,54.68,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.02
182,-31.53,57.19,0.0,1.0,0.0,200.00,14.14,300.17,17.33,-0.96,-0.27
183,-19.94,57.19,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.34,0.94
184,25.59,57.19,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.79,-0.61
185,-37.87,59.70,0.0,1.0,0.0,200.00,14.14,347.33,18.64,-0.24,-0.97
186,-28.52,59.70,0.0,1.0,0.0,200.00,14.14,285.55,16.90,-0.93,0.37
187,-22.74,59.70,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.70,0.71
188,44.82,59.70,1.0,0.0,0.0,253.48,15.92,110.67,10.52,1.00,0.08
189,-34.64,62.21,0.0,1.0,0.0,200.00,14.14,607.72,24.65,0.88,0.48
190,-31.53,62.21,0.0,1.0,0.0,200.00,14.14,425.66,20.63,0.88,0.47
191,19.94,62.21,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.11,-0.99
192,-31.53,64.72,1.0,1.0,0.0,200.00,14.14,230.34,15.18,0.93,0.35
193,41.25,67.23,1.0,1.0,0.0,200.00,14.14,91.09,9.54,0.91,-0.42
194,48.63,69.74,1.0,0.0,0.0,200.00,14.14,256.20,16.01,0.14,0.99
195,-34.64,72.25,1.0,0.0,0.0,200.00,14.14,144.73,12.03,1.00,0.06
196,34.64,72.25,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.92,0.39
197,37.87,74.76,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.74,-0.67
